gid,FR,avg_exc,avg_inh,max_exc,max_inh,num_exc,num_inh,skew_exc,skew_inh,std_exc,std_inh
0,3,0.004927894699018452,0.004815098562703839,0.0070199128445449215,0.007370362136145039,20,42,0.6257062856996031,0.40285329527584346,0.0009213679341247992,0.001049323775561439
20,6,0.004844471192139231,0.00494257461136317,0.006869759283772442,0.007904675289563495,34,38,0.3909457372894462,0.9383810240924808,0.0009108859824666752,0.000998982627720768
40,3,0.00469299420533801,0.00494475580439236,0.0072470342260869845,0.007868300139686679,26,48,0.4824560948462661,0.7821180117089757,0.000985537214145723,0.0010035373906445565
60,2,0.005558732645006901,0.004870065874081726,0.008255298214720751,0.007086388664053786,19,46,0.7683067842396755,0.22551977305952706,0.0012769944960620767,0.0008662679327792269
80,2,0.0049286960779962785,0.004739716757193705,0.006223523082036547,0.007293541000298749,20,45,-0.4032719043179933,0.4524979513409495,0.0009013177536491793,0.0009723070096747819
100,11,0.0050039607626842855,0.004997970076142042,0.006838583031933132,0.007914146885139363,39,37,0.19765059278404634,1.0239299399705866,0.0008404575504043331,0.001022548861864449
120,3,0.0049657643906673,0.005002231064971301,0.008965753219031758,0.0075287041684813285,23,41,1.1054047423502504,0.6477755124849656,0.0012500635828876833,0.0010271827830423796
140,8,0.005136595687821007,0.005067317129489178,0.007961907885531059,0.007085615539731392,21,31,0.927061321953682,0.4090686162551577,0.0011428303055648448,0.0009470882146310852
160,2,0.0046913810380538115,0.005146539736075792,0.006782251505206368,0.006979095247930218,40,75,-0.043465758750165964,0.09654743515953396,0.0008673905678334714,0.0009091268719294934
180,0,0.0050572850269301065,0.0048396921958695355,0.007033377255195196,0.007298117313590063,25,61,0.5223877601371992,0.6053359922556351,0.0008956652481083674,0.0009308881885054137
200,9,0.005147750920347059,0.00474784802868926,0.007575743303311659,0.006603430821405384,27,36,0.3267524536811376,0.7286005395321026,0.0009534596731318685,0.0007865919619862414
220,4,0.005209615187822662,0.004960668900027039,0.00848704754582814,0.006673459532095408,20,40,0.9378361115925096,0.043538280422767126,0.0012034356609471415,0.0007739371595733824
240,0,0.005467988118415246,0.005101158639400919,0.006786630300963621,0.006977630952363374,15,71,0.3175577172311174,-0.3948361168913716,0.0007463072881366285,0.0008989336952442426
260,5,0.005246576793756924,0.005242990968033157,0.007864315345473872,0.008204778467725334,28,44,0.6475952588507404,0.4988534118025534,0.0011215222021993738,0.0009731196204084844
280,8,0.004776309703404634,0.0048263902853183755,0.007060231897450544,0.008101835764077766,52,47,0.6062341032426418,1.0586995439644964,0.0008112716467481482,0.0009078641333445168
300,6,0.005126295482221118,0.00506428237955096,0.008304135922499059,0.007894741365752637,21,29,0.8058002853272911,0.3718808569921303,0.0011481799466724351,0.0011153519208362123
